SID BETTER WORSE BAQ_dyn BAQ_static BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED EQ_dyn EQ_static OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
cnn.385555::4 OPPO.1147 Online-B.1597 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
cnn.385555::4 OPPO.1147 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385555::4 OPPO.1147 NiuTrans.1511 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1
cnn.385555::4 OPPO.1147 Huawei_TSC.618 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1
cnn.385555::4 dong-nmt.768 Online-Z.1638 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
cnn.385555::4 Tencent_Translation.1332 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385555::4 Online-G.1562 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385555::4 Online-A.1579 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385555::4 zlabs-nlp.322 NiuTrans.1511 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 1 1
cnn.385555::4 zlabs-nlp.322 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385555::4 zlabs-nlp.322 Huawei_TSC.618 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
dailymail.co.uk.365293::12 NiuTrans.1511 Online-B.1597 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 1
dailymail.co.uk.365293::12 NiuTrans.1511 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
dailymail.co.uk.365293::12 NiuTrans.1511 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dailymail.co.uk.365293::12 Huawei_TSC.618 Online-B.1597 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Huawei_TSC.618 SJTU-NICT.706 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0
dailymail.co.uk.365293::12 Huoshan_Translate.716 Online-B.1597 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Huoshan_Translate.716 SJTU-NICT.706 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
dailymail.co.uk.365293::12 Huoshan_Translate.716 zlabs-nlp.322 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dailymail.co.uk.365293::12 OPPO.1147 Online-B.1597 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 OPPO.1147 SJTU-NICT.706 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0
dailymail.co.uk.365293::12 OPPO.1147 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dailymail.co.uk.365293::12 dong-nmt.768 Online-B.1597 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1
dailymail.co.uk.365293::12 dong-nmt.768 SJTU-NICT.706 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
dailymail.co.uk.365293::12 Tencent_Translation.1332 Online-B.1597 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Tencent_Translation.1332 SJTU-NICT.706 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
dailymail.co.uk.365293::12 Online-G.1562 Online-B.1597 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Online-G.1562 SJTU-NICT.706 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
dailymail.co.uk.365293::12 Online-G.1562 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Online-Z.1638 Online-B.1597 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::12 Online-Z.1638 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::12 Online-Z.1638 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::12 Online-B.1597 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::12 Online-A.1579 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::12 zlabs-nlp.322 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::6 Online-B.1597 NiuTrans.1511 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Online-B.1597 Online-G.1562 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Online-B.1597 SJTU-NICT.706 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1
dailymail.co.uk.365293::6 dong-nmt.768 NiuTrans.1511 1 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1
dailymail.co.uk.365293::6 dong-nmt.768 Online-G.1562 0 0 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 1
dailymail.co.uk.365293::6 dong-nmt.768 Online-Z.1638 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1
dailymail.co.uk.365293::6 dong-nmt.768 SJTU-NICT.706 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1
dailymail.co.uk.365293::6 Tencent_Translation.1332 NiuTrans.1511 1 0 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1
dailymail.co.uk.365293::6 Tencent_Translation.1332 Online-G.1562 0 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1
dailymail.co.uk.365293::6 Tencent_Translation.1332 Online-Z.1638 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Tencent_Translation.1332 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0
dailymail.co.uk.365293::6 Huawei_TSC.618 NiuTrans.1511 1 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Huawei_TSC.618 Online-G.1562 0 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Huawei_TSC.618 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 Huawei_TSC.618 SJTU-NICT.706 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1
dailymail.co.uk.365293::6 OPPO.1147 Online-G.1562 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1
dailymail.co.uk.365293::6 OPPO.1147 Online-Z.1638 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1
dailymail.co.uk.365293::6 OPPO.1147 NiuTrans.1511 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 1 1 0 0 1 1 1
dailymail.co.uk.365293::6 OPPO.1147 SJTU-NICT.706 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
dailymail.co.uk.365293::6 NiuTrans.1511 SJTU-NICT.706 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
dailymail.co.uk.365293::6 Online-G.1562 SJTU-NICT.706 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0
dailymail.co.uk.365293::6 Online-Z.1638 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
dailymail.co.uk.365293::6 Online-A.1579 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
dailymail.co.uk.365293::6 Huoshan_Translate.716 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
dailymail.co.uk.365293::6 zlabs-nlp.322 NiuTrans.1511 1 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1
dailymail.co.uk.365293::6 zlabs-nlp.322 Online-G.1562 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
dailymail.co.uk.365293::6 zlabs-nlp.322 SJTU-NICT.706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
seattle_times.7452::7 Huawei_TSC.618 NiuTrans.1511 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1
seattle_times.7452::7 Huawei_TSC.618 Online-A.1579 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0
seattle_times.7452::7 Huoshan_Translate.716 Online-A.1579 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
allafrica.15342::11 NiuTrans.1511 Huawei_TSC.618 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0
allafrica.15342::11 NiuTrans.1511 Online-A.1579 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0
abcnews.363994::1 Huoshan_Translate.716 Online-B.1597 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1
abcnews.363994::1 Huoshan_Translate.716 OPPO.1147 0 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1
abcnews.363994::1 Huoshan_Translate.716 SJTU-NICT.706 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1
abcnews.363994::1 dong-nmt.768 OPPO.1147 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 0
abcnews.363994::1 dong-nmt.768 SJTU-NICT.706 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1
abcnews.363994::1 Tencent_Translation.1332 OPPO.1147 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0
abcnews.363994::1 Tencent_Translation.1332 SJTU-NICT.706 0 0 0 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 0 0 0 1 1 1
abcnews.363994::1 NiuTrans.1511 OPPO.1147 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0
abcnews.363994::1 NiuTrans.1511 SJTU-NICT.706 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0
upi.205721::4 OPPO.1147 Online-B.1597 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
upi.205721::4 OPPO.1147 Online-G.1562 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
upi.205721::4 Online-Z.1638 Online-G.1562 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1
upi.205695::6 Online-B.1597 zlabs-nlp.322 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
upi.205695::6 dong-nmt.768 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
upi.205695::6 Tencent_Translation.1332 zlabs-nlp.322 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
upi.205695::6 Online-Z.1638 zlabs-nlp.322 0 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
upi.205695::6 Huawei_TSC.618 zlabs-nlp.322 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
upi.205695::6 Online-A.1579 zlabs-nlp.322 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1
upi.205695::6 Huoshan_Translate.716 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
upi.205695::6 SJTU-NICT.706 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
nytimes.231903::2 OPPO.1147 Online-B.1597 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1
nytimes.231903::2 OPPO.1147 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 dong-nmt.768 Online-Z.1638 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1
nytimes.231903::2 Tencent_Translation.1332 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 Online-B.1597 Online-Z.1638 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 NiuTrans.1511 Online-Z.1638 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 1 0 0 0
nytimes.231903::2 Online-G.1562 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 Huawei_TSC.618 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 Huoshan_Translate.716 Online-Z.1638 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
nytimes.231903::2 SJTU-NICT.706 Online-Z.1638 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::2 zlabs-nlp.322 Online-Z.1638 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 dong-nmt.768 Online-Z.1638 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 Tencent_Translation.1332 Online-G.1562 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1
nytimes.231903::6 Tencent_Translation.1332 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 NiuTrans.1511 Online-G.1562 0 1 1 1 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0
nytimes.231903::6 NiuTrans.1511 Online-Z.1638 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0
nytimes.231903::6 OPPO.1147 Online-G.1562 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
nytimes.231903::6 OPPO.1147 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 OPPO.1147 zlabs-nlp.322 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1
nytimes.231903::6 Online-B.1597 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 Huawei_TSC.618 Online-Z.1638 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 Huoshan_Translate.716 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
nytimes.231903::6 SJTU-NICT.706 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
cnn.385761::13 OPPO.1147 Online-B.1597 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1
cnn.385761::13 OPPO.1147 Online-A.1579 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1
cnn.385761::13 OPPO.1147 Huoshan_Translate.716 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
cnn.385761::13 OPPO.1147 zlabs-nlp.322 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1
cnn.385761::13 Tencent_Translation.1332 Online-B.1597 0 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnn.385761::13 Tencent_Translation.1332 Online-A.1579 0 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1
cnn.385761::13 Tencent_Translation.1332 Huoshan_Translate.716 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1
cnn.385761::13 Tencent_Translation.1332 zlabs-nlp.322 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1
abcnews.364021::3 OPPO.1147 Online-B.1597 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
abcnews.364021::3 OPPO.1147 zlabs-nlp.322 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1
abcnews.364021::3 Tencent_Translation.1332 Online-B.1597 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
abcnews.364021::3 Tencent_Translation.1332 zlabs-nlp.322 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1
foxnews.100073::8 Huawei_TSC.618 Online-B.1597 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0
foxnews.100073::8 Huawei_TSC.618 Online-Z.1638 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1
foxnews.100073::8 Huawei_TSC.618 Online-A.1579 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
