	YiSi-1	HUMAN_RAW	COMET-2R	COMET	prism	paresim-1	esim	parchrf++	YiSi-0	CharacTER	chrF	chrF++	BERT-base-L2	EED	BLEURT	MEE	OpenKiwi-XLMR	mBERT-L2	COMET-HTER	TER	COMET-MQM	BERT-large-L2	OpenKiwi-Bert	YiSi-2	parbleu	BLEURT-extended	BLEU	sentBLEU	COMET-Rank	COMET-QE
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.043284561897934413	0.12	0.12	0.12	0.015211759906652815	0.019599414238767383	0.015606671516498243	0.016342875340707306	0.01653157455505929	0.0023670149148482715	0.004227101961650877	0.0008368124806045529	0.00040101605664185307	0.00012157867209341787	1.965357079874002e-05
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.018496167121809164	0.024984831182448607	0.02118825773577759	0.023146457909842752	0.02362395726275036	0.0026290842808828997	0.005908928075411571	0.000788945247419645	0.0004331913691036926	0.00015156233129443942	2.2759257601056402e-05
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030577634329154703	0.12	0.026276303487063373	0.03121925325503038	0.12	0.04989768843670325	0.014489416354276983	0.0034427725236883993	0.00013150758965398317	0.020592073488872	0.0066526178306874646	0.0005328257073581642	0.005916320360912033	0.0013797485807863072	0.00012175172681931092	1.7116162838806777e-05
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.028955506024414737	0.12	0.12	0.12	0.005225044430913507	0.02296576055154281	0.007217837333885804	0.023997428717346034	0.025449070729510297	0.0006499760697704737	0.0015480500453012947	0.00022000816454935683	5.256577030449332e-05	1.967859445578705e-05	3.8110196681980704e-06
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.003471786669573556	0.006061883258882737	0.12	0.01776521280632631	0.00020679631727608095	0.01761098211027522	0.003455504292081381	0.00015281935006830798	2.1531903748610458e-05
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004875948813288927	0.015508377872812486	0.0015987168483349076	0.0002553609770375612	0.00016790776220069646	2.686336820589632e-05
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.003991031371294468	0.12	0.12	0.024302431084854123	0.12	0.01568221985179575	0.0024967242434379374	0.00041087044862990094
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006292953851654464	0.01367149933113808	0.12	0.02513451623560107	7.665753062908109e-05	0.02675324900812788	0.004201421458522107	0.0001217629250910465	2.056524443500904e-05
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013898427568648359	0.03707236436719469	0.043546611751024936	0.03845628941525344	0.00782596978321774	0.0010797373515775749	0.00021903451956406254
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0036945951373111804	0.047384774531683785	0.001298772369967481	0.0006038015458205645	0.0001806102143038219	9.966950865990517e-06
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03034205417562579	0.0024253131106781816	0.0003033789721707811
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0011902479241766657	0.12	0.027484174626622303	0.0004150261876697932	1.4250549168405203e-05
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02468138899271099	0.0037196407548912578
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013639475148059724	0.002129359902263045
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0015742729629626292	0.0016743327222054477	1.7370611122265563e-05
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.005124009599021166	0.00026429815555738826
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.023118480851012476	0.012304712968835545	0.0004554378053932048
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02715718386394939	0.0008681797291321717
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0028013220087770847
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
