	HUMAN_RAW	paresim-1	esim	YiSi-1	parbleu	mBERT-L2	EED	BLEURT-extended	sentBLEU	BLEU	CharacTER	parchrf++	chrF++	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	COMET	OpenKiwi-XLMR	COMET-HTER	COMET-2R	TER	YiSi-2
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01294834342469266	0.025711112239579673	0.014402316631467424	0.008221817340621001	0.007495343978389607	0.00500363677646734	0.0037384971043820064	0.004014171436455729	0.003199603909467864	0.003050641682332898	0.00208689335010525	0.0019574295811927234
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.012953840691817115	0.028094689960805535	0.01568313059151062	0.009155195317265337	0.008609685233736652	0.005706946617041041	0.003983158921524826	0.004266115356944042	0.0035375791460847553	0.0032628869738318125	0.002394390769402362	0.002134184835562268
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02124661205033269	0.0335427855166675	0.01823805408369732	0.010324104340458504	0.009709733565025394	0.006269983720404684	0.004208277415388716	0.004526498805539708	0.003755279295276108	0.003415614516395638	0.002519673347785556	0.0022016326801968735
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0367647208523998	0.12	0.002941592232934215	0.0007215943493338217	0.0006809204588762046	0.0004470371045363048	0.0002785240986298584	0.0004195521663925033	6.576704558174896e-05	0.00024332529570015394
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0024199055704358877	2.9759285767034975e-05	3.163537994409175e-05	3.7061083808459304e-06	2.8160330371624284e-06	1.1863977982773303e-05	4.990657774954373e-07	8.664572997324817e-06
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011259336223535917	0.000538200214842773	0.0020941688276170213	0.0005148323302438616	0.000163362523708023	0.00010719572358117391	2.0875462359213093e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	8.069523947327602e-05	0.0010765172677248938	0.0007429304735299194	3.30156231692866e-05	0.00022793928973770562	4.786708877980926e-07	4.696544306035643e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.033473853848949006	0.016354929342882532	4.9398445554693404e-05	0.00206501469865211	1.4144231082426713e-08	0.0001458545225117064
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007141092471678879	5.156859086789621e-06	0.0001653491435659674	2.8302836806325348e-05
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004651041954953478	0.006276198790113442	9.632121586712855e-05	0.00023149808826190894
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	6.272987924995515e-06	0.0008905335304022587
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0019686683693989604	9.138668851409138e-05
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
