	HUMAN_RAW	paresim-1	esim	parchrf++	YiSi-1	parbleu	mBERT-L2	EED	BLEURT-extended	chrF++	chrF	sentBLEU	CharacTER	BLEU	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	OpenKiwi-XLMR	COMET	COMET-HTER	COMET-2R	TER	YiSi-2
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013278722870990661	0.011344385874566426	0.0069942389743343925	0.0028545283874159533	0.002988937249590405	0.0022380167384097043	0.0017251011890755158	0.0015333579905089424	0.001393976023288963	0.0012845941014040295	0.0009312406857620759	0.0008218320949652336
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02972404679177144	0.00983260895015601	0.015513959074181741	0.009532678643985918	0.00426070753852176	0.004415511842640334	0.003297801728714472	0.002582668124025722	0.0023133303554893478	0.0020937028928738263	0.0019462405641305735	0.001414017470038185	0.001245173219781775
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011074771294713206	0.018232034905122388	0.011201630394276185	0.00518576316130238	0.005143218496624965	0.00379626318104792	0.003080279073125622	0.0027686607304900483	0.0024488680427209517	0.002328591482102598	0.0016155179360484884	0.0014799902781485027
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014322420686035058	0.0213102773080212	0.013033075253679898	0.005913885382047232	0.00589097835173383	0.0043639769250169045	0.003392531630196536	0.0030491807779933593	0.0027364454818052416	0.0025501848358267577	0.0018289113111958663	0.0016063227995681327
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002807701330870845	0.001179777823467417	0.0007646138837092795	0.0010511342146816037	0.00045352976785267894	0.0007063049192429981	0.00011483809821370136	0.00038684506559836563
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00028628347694815233	3.192788124337365e-05	3.7061083808459304e-06	2.1913042991190477e-05	2.477537214694585e-06	1.0992140553539357e-05	5.756815673951191e-07	8.664572997324817e-06
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02129298246120352	0.0031925197951376697	0.0006828873452779269	0.0005939668961283954	0.0001866206906235872	0.00010093114573469479	1.1423969349776578e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0003849006771968113	0.0020061585408600218	0.0024460701349725902	6.452416956367573e-05	0.0006570719171474788	1.0102508862608154e-06	0.00010319847342224895
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.031368341324913146	0.0331653177112591	0.0001254219896146507	0.004297403902495459	4.532898762950257e-08	0.0002777130637450194
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.006213650852630237	0.0049977333332097956	0.000168160764633592	0.00023149808826190894
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011406545379588023	8.251221023521397e-06	0.00023082656895950448	3.192224842443905e-05
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	8.330358773150953e-06	0.0012168318940674356
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002956865957331235	8.55637966269522e-05
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
