	YiSi-0	SWSS+METEOR	CharacTER	EED	chrF++	chrF	MEE	parchrf++	HUMAN_RAW	YiSi-1	sentBLEU	BLEU	BERT-base-L2	parbleu	BLEURT	BERT-large-L2	prism	BLEURT-extended	mBERT-L2	esim	paresim-1	COMET-2R	COMET	YiSi-2	TER	COMET-QE	OpenKiwi-XLMR	COMET-Rank	COMET-MQM	COMET-HTER	OpenKiwi-Bert
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.046266534351016554	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017215619634255074	0.011135393777659531	0.012402911141753039	0.004125487452013326	0.003939362190806114	0.002969617439504748	0.0007740615676049225
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032489714878769525	0.012618003645111921	0.018084309132038824	0.00476579596134244	0.00492162005009016	0.004497830347394503	0.0009290506417432092
BERT-base-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01641883587099711	0.12	0.12	0.030919084678739595	0.02218858228691483	0.03472894413050576	0.021592016529373554	0.012733965339044778	0.0011708684324430113	0.003135094914269412	0.0007623248309146135	0.000344066825290729	0.00010961305425638185
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007790638094052909	0.019557148656694386	0.0028142847336232665	0.0033773800533102465	0.004865569017301833	0.0006623000181166214
BLEURT	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.041435623837080986	0.12	0.12	0.015678230297285677	0.0236378826961513	0.02483985353832367	0.013514011085291574	0.02106618680932133	0.0007517620546170354	0.005242390163034969	0.0011769703077312106	0.00017135973330630435	0.00010976211432453489
BERT-large-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.038656033821379505	0.04799365989651499	0.03691703019088153	0.01611429200237219	0.027726104131232516	0.0011709428617073608	0.006642670531813577	0.0015122502366673738	0.00020153022756614676	0.0001344847878134974
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027685268479926202	0.12	0.029312275234655957	0.015356866309620621	0.001020675841571672	0.0021353093170294736	0.0005207325315089942	0.0002661470496151451	7.380162336226935e-05
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004051269076860395	0.005213147448962094	0.0010577268673944407	0.0004374367013372176	0.001634546601951716	0.0001321199588030899
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02316147197096025	0.0009649771533602967	0.003047957829356817	0.0004315797623655841	0.0003511751280140229	5.481971556206635e-05
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008019697286623854	0.12	0.004379329268717427	0.03466444571210447	0.010992186843108135	0.00024420530037588784	0.0004993443997165235
paresim-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.009741951170470052	0.12	0.003856270594170921	0.03369112202992395	0.010311512741906816	0.0002183449571669865	0.000452596523091551
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0427837661153008	0.12	0.00011598494792087025	0.010070804349444311	0.0011806903415470095	3.0665908064491404e-05	3.5324846167644006e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03715858551439718	0.00028144505998797006	0.0038503412843066786	0.0003552266361642071	9.553990681196639e-05	2.5205625435163732e-05
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015523361731319824	0.12	0.03756432224185318	0.00011250678540347079	0.00027790136648714813
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04111938248480515
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01591628207082499
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0013693322373550167	7.795562092693691e-05
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0009415549502991027
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	8.702004801030076e-05
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015681725810966832
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
