	chrF++	chrF	sentBLEU	BLEU	EED	BLEURT-extended	parchrf++	YiSi-0	esim	paresim-1	CharacTER	parbleu	mBERT-L2	HUMAN_RAW	YiSi-1	COMET	OpenKiwi-XLMR	COMET-2R	OpenKiwi-Bert	COMET-QE	COMET-HTER	COMET-MQM	MEE	prism	COMET-Rank	YiSi-2	TER
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011892057269402878	0.02502021580551072	0.01660340617433158	0.001220245757684971	0.0011539580687405858	0.006151804885943633	0.0004524238929372122	0.00033142217591815445
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.045176585371125275	0.0453166026042019	0.037210541654176615	0.0190939273204928	0.01714545244092391	0.01783237875328116	0.003480577285034798	0.003146889031927957
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.023514724904217035	0.12	0.002147792576941093	0.12	0.12	0.04743418306273435	0.04584386226212894	0.0417188000960651	0.020569332778792807	0.02318324143513222	0.006233127874237941
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029223805886312005	0.03106631676617081	0.036410086742761694	0.007762915143974343	0.003273881742153869
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.012373581062594051	0.02651847326947357	0.01058305701309172	0.0016197519614586436	0.0004676890584457636	0.00285348851261069	0.0023033240185845894	0.00011845811430525668
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01067033089943662	0.12	0.028896976215232253	0.000786196166284461	0.0022176273838196217	0.03184385219210942	0.02424089000128185	0.0005937382083307717	0.02277203319850522	0.0009317344402540299
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.010918514415705459
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0036859065259929476	0.011242553296536763	0.12	0.12	0.0007659381745691534	0.12	0.0006724569531358563
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02612185673921446
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.017703348699346807	0.12	0.0005284909511017551
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004362157194524601	0.12	0.0021747001205765777
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.002883564205422894	0.12	0.0016678629417564111
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.7047670201014878e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.001326667064859012
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.004474266550072419
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03881952413045624
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
