	HUMAN_RAW	paresim-1	EQ_static	esim	parbleu	YiSi-1	BAQ_static	parchrf++	EQ_dyn	mBERT-L2	BLEU	EED	BLEURT-extended	sentBLEU	chrF	CharacTER	BAQ_dyn	chrF++	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	COMET	OpenKiwi-XLMR	COMET-2R	COMET-HTER	TER	YiSi-2
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.039188302909901246	0.006747691227660053	0.008670846263947552	0.004744516719621115	0.0023251307826677764	0.0023597716172551243	0.001631818903435694	0.001196766171685364	0.0013084890074663718	0.0009970551165467503	0.001054244879093591	0.0006863046222927793	0.0006501359516491998
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03966397974468964	0.00473687537147422	0.0111434300600493	0.006243125856898881	0.0034880672439995338	0.0033507463549841405	0.0023487097614655478	0.0017838511355906777	0.0019065851557737658	0.0014901105217377498	0.0015503375358754986	0.0010212832719262376	0.0009698252450850289
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00554836813340684	0.007825871811315875	0.004606529786383006	0.003230553458674612	0.0025457702178014133	0.0017837119130987209	0.0012824227968153785	0.0013397576342277459	0.001085403254171657	0.001153642363428137	0.0007730273521442686	0.0007393655343440132
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03107977459498553	0.006896838358088887	0.009919504731808556	0.005358434223438073	0.002579464140195783	0.002694219253299646	0.001844583001389107	0.0013429833313616396	0.0014698466764855094	0.0011161844262862137	0.001184048328515957	0.0007730028154741592	0.0007201181969524744
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007653005889048539	0.01115617739420368	0.006173878253850991	0.003174123600454796	0.003087099626358463	0.002112079619706002	0.0015669928759059614	0.0016955303649035778	0.0013014319561513625	0.0013629289340456473	0.0008816086301305648	0.0008439537376723355
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.011163010964895645	0.02424284481563427	0.012871956672805886	0.007767090575572036	0.0067466298205182155	0.00455749482425539	0.003503509548348511	0.003674628979427234	0.0028662517441231604	0.002924330633263723	0.0018613023684720107	0.0017976935630879636
BAQ_dyn	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030201962546839566	0.004609010963005672	0.0016411787063747099	0.0001516731852793475	0.0004339301450738125	0.00025037959549551814	0.00014733536703922268	0.00019956363899819923	0.00011920097322431763	0.00013969271939230882	8.104999598401023e-05	7.017214425698904e-05
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022420755062203288	0.04368498671599286	0.022698055863272424	0.014488449380811133	0.012442081896959625	0.008031005315432358	0.005602018972764596	0.00586859402401668	0.004557601255044581	0.004847974427123012	0.0031483343679297397	0.002878254060414495
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.030093112277968397	0.12	0.002769611871222151	0.0007571843489751722	0.0007064366946096703	0.00040831761830005786	0.0004341620462031265	0.0002752086823132066	6.998631819431969e-05	0.00022990562781680497
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0024199055704358877	3.207226827380123e-05	4.67281421484524e-05	3.7061083808459304e-06	1.589034385280412e-05	3.2637329410264848e-06	4.988876256160363e-07	8.664572997324817e-06
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.010850116550434274	0.0009431346694150676	0.002701729687266179	0.00032918208917331806	0.000752040114421034	0.00014646847184828155	4.51729675656228e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00021690986940422913	0.0018409578741346775	0.0007429304735299194	0.0003497453245767753	4.499481737686605e-05	8.889519530129184e-07	4.696544306035643e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.034275593284041055	0.007623329445694221	0.0015804768569687754	1.9561609023475793e-05	2.6361151356993086e-08	7.664880275390553e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	8.618943040281159e-06	0.0047009619873292835	7.181026658263679e-05	2.7739914998602246e-05
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.015073403068099544	0.0036062427350036603	2.8358611970867124e-05	0.00023149808826190894
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0005181997954588531	6.888493216636259e-05
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	7.79154246531241e-07	0.0006565322367936885
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
YiSi-2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
