	parchrf++	chrF	chrF++	BERT-base-L2	BLEURT	CharacTER	YiSi-2	esim	paresim-1	BERT-large-L2	YiSi-1	BAQ_static	mBERT-L2	SWSS+METEOR	parbleu	prism	EED	BAQ_dyn	BLEU	YiSi-0	TER	MEE	COMET	COMET-2R	sentBLEU	BLEURT-extended	HUMAN_RAW	OpenKiwi-XLMR	COMET-Rank	COMET-QE	COMET-HTER	COMET-MQM	OpenKiwi-Bert
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.040938765412112145	0.12	0.007694238234302608	0.0037998244916339873	0.0006668356231595969	0.0005935459271894683	0.00032171904295137953	4.78062126102453e-05
BAQ_static	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.005480676342918791	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035962128845963566	0.009280367949576032	0.005098553169210754	0.001265611605955699	0.0012894049337915789	0.00011943923198306022
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.044507979045912076	0.12	0.003323201952061635	0.12	0.0007686122247236212	0.0005957489950507892	8.626571862061191e-05	7.687830433141686e-05	4.8263845890247125e-05	6.315450402691831e-06
SWSS+METEOR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0492485247378421	0.020384045550766224	0.007437477152447916	0.0036692144377713488	0.002599510194759713	0.0003726468971750701
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.009451255065145322	0.12	0.12	0.02022662914227205	0.006640890459150173	0.0016407023041740754	0.0010293285379768989	0.0005374884570232332	7.071725982767291e-05
prism	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.008642847902551765	0.12	0.002910380337617828	0.0015937231794284185	0.00011566508583134214	0.00023164608993867387	0.00010573067478806926	1.7704668031108416e-05
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.023600436188577104	0.008294396539400437	0.004346078620497776	0.002907471195972949	0.0004098986803979742
BAQ_dyn	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014078011320290684	0.007894915182822187	0.001953178093199275	0.0019494593796446967	0.00016893510176354504
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03698058250874248	0.12	0.12	0.024897523132745215	0.006035705262929529	0.0018497516085898258	0.0008559545764183821	0.0005028291165375509	5.760889498777094e-05
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03378001317809548	0.013140091060877579	0.0068934270944654465	0.004488865728550012	0.0006852405922717675
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03742395881542036	0.01772506518573602	0.007351984458210736	0.005453957356880177	0.0007897175525246888
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01795283279242173	0.006029496860858541	0.0008104927317776678	0.000777087940901533	0.0004222253869030803	5.8918610994510974e-05
COMET	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0002298210949802434	0.0012062614357216488	1.708777422197521e-05	0.00011298230099130433	3.4161439014554324e-05	6.950758373671221e-06
COMET-2R	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0015592044100926437	0.0019055712049551293	8.81029464861879e-05	0.00015405664696818895	8.31574108622608e-05	1.164945656562621e-05
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.021960569443199303	0.006444600815751776	0.003301161018201935	0.0020179900553511064	0.00023057796204481475
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.005650083763346953	0.0031752460126664634	0.00017171512897656618	0.0003479511180016325	0.00015514781038092188	2.032589206668701e-05
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04138968801220463	0.006134896925994138
OpenKiwi-XLMR	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.0003752346334911232	0.0017884178837980528	9.382947141267849e-05	1.0299696278097357e-05
COMET-Rank	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.6909902009856557e-05	8.914047512027166e-05	7.991834461024137e-07
COMET-QE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.014731686035671506	0.0005022305409607433
COMET-HTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	2.4897334651244313e-05
COMET-MQM	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.604368734064231e-05
OpenKiwi-Bert	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
